"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2015 VO142)","2046-2110","13","6.4e-6","2.80","29.0","0.005","-7.48","-7.73","0","bK15VE2O"
"(2017 GF8)","2047-2110","5","6.5e-9","9.36","23.3","0.075","-7.48","-7.66","0","bK17G08F"
"(2011 AD3)","2027-2116","74","1.6e-7","12.63","26.6","0.017","-7.49","-8.37","0","bK11A03D"
"(2014 HN197)","2041-2041","2","2.6e-10","8.35","21.1","0.204","-7.50","-7.78","0","bK14HJ7N"
"(2007 XB23)","2078-2115","10","6.7e-7","4.58","27.1","0.013","-7.51","-7.79","0","bK07X23B"
"(2003 DW10)","2046-2058","2","8.7e-8","7.83","26.1","0.020","-7.52","-7.68","0","bK03D10W"
"(2013 XS21)","2079-2111","10","7.8e-6","7.50","29.4","0.004","-7.52","-7.82","0","bK13X21S"
"(2014 HN198)","2019-2117","98","2.5e-8","9.51","25.7","0.024","-7.52","-8.09","0","bK14HJ8N"
"(2002 AN129)","2091-2091","1","1.3e-7","11.58","26.0","0.021","-7.54","-7.54","0","bK02AC9N"
"(2016 EL1)","2068-2109","6","5.4e-7","19.90","27.8","0.009","-7.56","-8.01","0","bK16E01L"
"(2015 EG)","2115-2115","1","1.3e-7","9.56","25.7","0.025","-7.57","-7.57","0","bK15E00G"
"(2017 FW158)","2067-2115","16","1.4e-6","15.00","28.4","0.007","-7.57","-8.25","0","bK17FF8W"
"(2017 OO1)","2115-2115","1","3.5e-8","10.04","24.5","0.042","-7.57","-7.57","0","bK17O01O"
"(2007 FP3)","2055-2113","13","2.0e-6","9.65","28.4","0.007","-7.58","-7.92","0","bK07F03P"
"(2017 UL5)","2100-2111","2","2.6e-7","8.14","26.4","0.018","-7.58","-7.61","0","bK17U05L"
"(2007 EH26)","2110-2110","1","1.2e-8","20.17","24.2","0.048","-7.59","-7.59","0","bK07E26H"
"(2007 VD8)","2023-2112","59","3.5e-7","12.65","27.7","0.010","-7.60","-8.43","0","bK07V08D"
"(2016 PA79)","2037-2102","10","1.1e-8","12.69","24.3","0.047","-7.60","-8.24","0","bK16P79A"
"(2017 FB102)","2051-2102","5","2.0e-7","8.78","26.8","0.015","-7.60","-7.86","0","bK17FA2B"
"(2013 CY)","2072-2111","7","2.2e-6","2.42","28.2","0.008","-7.61","-7.95","0","bK13C00Y"
"(2017 CY32)","2041-2110","7","4.1e-7","19.78","28.4","0.007","-7.61","-7.94","0","bK17C32Y"
"(2008 EK68)","2018-2117","244","3.2e-6","7.62","29.8","0.004","-7.63","-8.70","0","bK08E68K"
"(2008 JD33)","2018-2117","160","2.6e-7","4.64","28.1","0.009","-7.63","-8.34","0","bK08J33D"
"(2008 YD3)","2021-2110","30","5.3e-8","9.17","26.0","0.022","-7.64","-8.11","0","bK08Y03D"
"(2014 HV2)","2116-2116","1","1.2e-7","13.17","26.0","0.021","-7.64","-7.64","0","bK14H02V"
"(2017 UQ6)","2080-2099","3","6.4e-7","3.00","27.2","0.012","-7.64","-7.88","0","bK17U06Q"
"(2014 HB177)","2085-2099","2","1.7e-6","6.08","28.3","0.007","-7.65","-7.69","0","bK14HH7B"
"(2011 DX4)","2023-2114","24","4.9e-8","17.66","26.5","0.017","-7.66","-8.32","0","bK11D04X"
"(2017 FA159)","2022-2116","180","8.7e-7","6.96","28.6","0.006","-7.66","-8.46","0","bK17FF9A"
"(2015 KH158)","2043-2115","18","6.1e-8","14.41","26.0","0.021","-7.67","-8.02","0","bK15KF8H"
"(2016 FC1)","2082-2088","4","2.1e-6","15.19","29.1","0.005","-7.68","-7.82","0","bK16F01C"
"(2011 EL40)","2073-2073","1","8.6e-8","16.98","26.5","0.017","-7.68","-7.68","0","bK11E40L"
"(2012 VV76)","2074-2094","2","4.6e-8","14.73","25.6","0.026","-7.69","-7.83","0","bK12V76V"
"(2008 UC202)","2116-2116","3","2.4e-6","4.17","28.2","0.008","-7.69","-7.74","0","bK08UK2C"
"(2012 RU16)","2036-2089","2","4.8e-8","9.13","25.6","0.026","-7.71","-7.92","0","bK12R16U"
"(2016 UB26)","2066-2066","1","1.2e-8","18.33","25.0","0.034","-7.71","-7.71","0","bK16U26B"
"(2008 CM74)","2079-2100","7","1.4e-6","4.08","28.1","0.008","-7.72","-8.14","0","bK08C74M"
"(2005 UC3)","2072-2109","2","3.8e-7","7.83","27.1","0.013","-7.74","-7.94","0","bK05U03C"
"(2014 WU200)","2104-2111","3","4.8e-6","1.70","28.9","0.005","-7.74","-7.90","0","bK14WK0U"
"(2008 YC3)","2086-2103","5","5.8e-8","6.24","25.4","0.029","-7.75","-7.84","0","bK08Y03C"
"(2009 MU)","2096-2099","2","1.6e-8","13.33","24.6","0.042","-7.75","-7.90","0","bK09M00U"
"(2009 VT1)","2046-2109","5","2.5e-6","6.97","29.6","0.004","-7.75","-7.84","0","bK09V01T"
"(2014 OP2)","2071-2079","3","1.8e-6","11.63","29.1","0.005","-7.75","-7.87","0","bK14O02P"
"(2016 FV7)","2083-2083","1","9.1e-10","32.99","23.2","0.079","-7.75","-7.75","0","bK16F07V"
"(2016 TG94)","2096-2116","16","6.9e-6","8.76","29.6","0.004","-7.76","-8.34","0","bK16T94G"
"(2004 XO63)","2065-2065","1","7.3e-8","8.16","26.1","0.021","-7.76","-7.76","0","bK04X63O"
"(2003 UM3)","2022-2115","37","4.5e-7","13.43","28.0","0.008","-7.77","-8.61","0","bK03U03M"
"(2017 BE30)","2100-2100","1","8.3e-8","16.69","26.3","0.018","-7.79","-7.79","0","bK17B30E"
"(2017 KH5)","2067-2074","2","2.4e-7","14.82","27.6","0.010","-7.80","-8.09","0","bK17K05H"
"(2010 GV23)","2096-2105","2","7.3e-7","5.42","27.6","0.010","-7.81","-7.99","0","bK10G23V"
"(2015 FC345)","2097-2109","3","8.5e-7","6.76","27.8","0.009","-7.81","-7.81","0","bK15FY5C"
"(2017 TT3)","2059-2102","2","3.3e-8","8.69","25.6","0.026","-7.81","-7.84","0","bK17T03T"
"(2015 KH160)","2087-2107","3","3.5e-8","30.01","26.4","0.018","-7.82","-7.95","0","bK15KG0H"
"(2004 FM4)","2116-2116","1","1.5e-8","14.82","24.6","0.042","-7.82","-7.82","0","bK04F04M"
"(2017 UW5)","2081-2111","2","1.2e-6","13.01","28.7","0.006","-7.84","-8.13","0","bK17U05W"
"(2008 GY21)","2038-2115","45","2.3e-7","11.16","27.6","0.010","-7.85","-8.58","0","bK08G21Y"
"(2011 FQ16)","2105-2114","4","6.5e-7","7.99","27.7","0.010","-7.86","-8.04","0","bK11F16Q"
"(2012 BN123)","2074-2110","4","2.8e-9","10.15","23.2","0.078","-7.86","-8.17","0","bK12BC3N"
"(2012 TP20)","2069-2079","2","4.8e-7","7.31","27.8","0.009","-7.87","-8.09","0","bK12T20P"
"(2015 KA158)","2024-2113","36","3.2e-8","13.71","26.6","0.016","-7.87","-8.48","0","bK15KF8A"
"(2016 GS134)","2054-2070","2","3.3e-7","11.02","27.9","0.009","-7.87","-8.04","0","bK16GD4S"
"(2017 HY3)","2024-2024","1","2.1e-9","16.89","25.4","0.028","-7.87","-7.87","0","bK17H03Y"
"(2017 UL6)","2058-2106","23","4.7e-5","7.13","32.0","0.001","-7.87","-8.38","0","bK17U06L"
"(2017 UF)","2066-2082","2","1.8e-7","23.24","27.9","0.009","-7.87","-8.10","0","bK17U00F"
"(2017 UZ)","2113-2113","1","6.9e-8","13.17","26.0","0.021","-7.88","-7.88","0","bK17U00Z"
"(2001 YN2)","2020-2020","1","5.7e-10","18.49","24.9","0.035","-7.89","-7.89","0","bK01Y02N"
"(2008 EF85)","2110-2110","3","1.7e-7","9.53","26.7","0.016","-7.91","-7.94","0","bK08E85F"
"(2015 HE1)","2098-2098","1","1.4e-7","14.60","27.0","0.013","-7.94","-7.94","0","bK15H01E"
"(2010 XB)","2027-2029","2","2.5e-7","19.67","29.6","0.004","-7.95","-8.20","0","bK10X00B"
"(2015 HO182)","2024-2107","32","4.3e-8","9.31","27.1","0.013","-7.96","-8.68","0","bK15HI2O"
"(2011 SE191)","2098-2098","1","1.6e-8","14.57","25.1","0.033","-7.98","-7.98","0","bK11SJ1E"
"(2015 SK7)","2059-2107","4","9.2e-7","12.16","28.8","0.006","-7.99","-8.29","0","bK15S07K"
"(2008 VB4)","2030-2106","18","1.2e-7","11.59","28.2","0.008","-8.04","-8.33","0","bK08V04B"
"(2016 VF18)","2031-2082","6","2.4e-6","10.06","29.8","0.004","-8.04","-8.07","0","bK16V18F"
"(2013 NR13)","2114-2114","1","4.0e-8","11.31","25.8","0.024","-8.06","-8.06","0","bK13N13R"
"(2014 HM199)","2025-2104","2","4.9e-10","10.54","23.7","0.063","-8.07","-8.10","0","bK14HJ9M"
"(2015 FU344)","2066-2111","10","7.0e-6","9.92","31.0","0.002","-8.10","-8.28","0","bK15FY4U"
"(2015 PS228)","2080-2115","3","1.4e-6","2.55","28.9","0.005","-8.10","-8.18","0","bK15PM8S"
"(2016 FE15)","2068-2116","3","5.7e-7","12.21","28.8","0.006","-8.13","-8.24","0","bK16F15E"
"(2010 YD)","2091-2091","1","7.9e-8","8.99","26.6","0.016","-8.13","-8.13","0","bK10Y00D"
"(2006 BO7)","2060-2115","4","9.4e-7","9.83","29.3","0.005","-8.14","-8.33","0","bK06B07O"
"(2015 FN36)","2117-2117","1","2.3e-9","21.85","23.9","0.056","-8.14","-8.14","0","bK15F36N"
"(2016 AF2)","2072-2093","6","2.6e-7","5.87","27.8","0.009","-8.17","-8.22","0","bK16A02F"
"(2015 HD1)","2047-2060","2","4.9e-8","15.69","27.4","0.011","-8.18","-8.47","0","bK15H01D"
"(2014 HE197)","2028-2098","22","6.1e-9","16.73","25.5","0.027","-8.18","-9.12","0","bK14HJ7E"
"(2013 VJ13)","2099-2099","1","2.0e-9","16.09","23.8","0.060","-8.19","-8.19","0","bK13V13J"
"(2009 WQ52)","2037-2037","1","7.1e-8","14.76","28.2","0.008","-8.20","-8.20","0","bK09W52Q"
"(2004 BK86)","2078-2078","1","9.4e-9","15.77","25.4","0.028","-8.20","-8.20","0","bK04B86K"
"(2012 WR10)","2087-2096","2","7.7e-7","2.73","28.5","0.007","-8.21","-8.42","0","bK12W10R"
"(2014 HN199)","2038-2115","16","1.5e-8","17.99","26.4","0.018","-8.22","-8.77","0","bK14HJ9N"
"(2014 KW76)","2115-2115","1","2.7e-7","15.00","28.0","0.008","-8.22","-8.22","0","bK14K76W"
"(2014 QJ365)","2095-2113","2","1.5e-7","12.06","27.5","0.011","-8.22","-8.28","0","bK14Qa5J"
"(2016 NJ56)","2036-2036","1","4.0e-9","4.95","25.1","0.033","-8.23","-8.23","0","bK16N56J"
"(2016 FA14)","2072-2072","1","7.0e-8","15.24","27.4","0.011","-8.25","-8.25","0","bK16F14A"
"(2013 RZ53)","2058-2103","11","1.4e-5","1.25","31.1","0.002","-8.26","-8.74","0","bK13R53Z"
"(2010 UE)","2032-2044","2","2.4e-7","16.11","29.6","0.004","-8.27","-8.41","0","bK10U00E"
"(2016 EG86)","2117-2117","1","4.9e-9","15.59","24.5","0.042","-8.27","-8.27","0","bK16E86G"
"(2008 UM1)","2018-2073","8","5.4e-7","18.99","31.6","0.002","-8.28","-8.34","0","bK08U01M"
"(2016 TM)","2089-2093","2","2.1e-7","4.29","27.5","0.011","-8.28","-8.28","0","bK16T00M"
"(2007 WT3)","2101-2101","1","1.9e-9","19.92","24.1","0.051","-8.30","-8.30","0","bK07W03T"
"(2016 DY30)","2036-2115","9","7.7e-7","15.60","30.5","0.003","-8.31","-8.35","0","bK16D30Y"
"(2014 HS197)","2055-2100","7","3.7e-7","16.97","29.4","0.004","-8.32","-8.43","0","bK14HJ7S"
"(2017 SA21)","2056-2056","1","1.7e-7","10.07","28.3","0.007","-8.32","-8.32","0","bK17S21A"
"(2014 OQ392)","2092-2115","4","7.2e-10","11.64","22.8","0.093","-8.33","-8.79","0","bK14Od2Q"
"(2008 XC1)","2085-2085","1","1.4e-9","11.66","23.7","0.063","-8.34","-8.34","0","bK08X01C"
"(2010 RK53)","2029-2029","1","3.4e-8","8.23","27.8","0.009","-8.34","-8.34","0","bK10R53K"
"(2014 DK10)","2060-2100","3","1.2e-7","11.81","27.8","0.010","-8.35","-8.73","0","bK14D10K"
"(2008 YC29)","2034-2116","15","1.1e-8","11.02","25.4","0.028","-8.38","-8.77","0","bK08Y29C"
"(2012 XL55)","2066-2066","1","2.3e-8","19.09","27.1","0.013","-8.39","-8.39","0","bK12X55L"
"(2016 EU84)","2115-2115","1","1.1e-6","2.39","28.9","0.005","-8.39","-8.39","0","bK16E84U"
"(2009 FQ32)","2070-2104","7","6.4e-8","4.75","26.8","0.015","-8.40","-8.89","0","bK09F32Q"
"(2017 SE33)","2058-2116","8","1.2e-7","8.73","27.8","0.009","-8.40","-8.81","0","bK17S33E"
"(2013 UJ5)","2061-2061","1","1.0e-7","10.81","28.0","0.009","-8.41","-8.41","0","bK13U05J"
"(2014 UY57)","2071-2076","2","6.0e-8","9.10","27.2","0.012","-8.41","-8.63","0","bK14U57Y"
"(2015 YC2)","2045-2045","1","2.9e-10","14.67","23.4","0.071","-8.43","-8.43","0","bK15Y02C"
"(2014 BZ2)","2106-2106","1","7.2e-9","17.72","25.5","0.027","-8.45","-8.45","0","bK14B02Z"
"(2015 XH55)","2092-2110","3","8.2e-7","7.14","29.2","0.005","-8.46","-8.56","0","bK15X55H"
"(2017 SG33)","2051-2109","4","8.2e-10","17.40","23.9","0.055","-8.46","-8.86","0","bK17S33G"
"(2017 JB2)","2110-2111","2","9.7e-7","2.92","29.1","0.005","-8.48","-8.76","0","bK17J02B"
"(2004 OD4)","2100-2100","1","5.8e-8","8.45","26.9","0.014","-8.49","-8.49","0","bK04O04D"
"(2014 HT197)","2070-2090","4","1.2e-7","17.22","28.5","0.007","-8.49","-8.80","0","bK14HJ7T"
"(2007 WW3)","2031-2106","5","1.1e-9","10.27","23.9","0.056","-8.53","-8.97","0","bK07W03W"
"(2015 KW157)","2042-2115","7","9.8e-9","9.32","25.9","0.022","-8.57","-8.89","0","bK15KF7W"
"(2009 XR1)","2026-2109","13","2.0e-7","6.00","29.3","0.005","-8.62","-9.08","0","bK09X01R"
"(2016 JR38)","2084-2084","1","1.1e-10","10.86","21.9","0.140","-8.62","-8.62","0","bK16J38R"
"(2016 YC13)","2087-2116","7","2.1e-8","11.76","26.7","0.016","-8.65","-8.75","0","bK16Y13C"
"(2005 TK50)","2054-2106","2","1.5e-7","20.62","28.9","0.006","-8.66","-8.68","0","bK05T50K"
"(2010 UZ7)","2111-2111","1","2.2e-9","15.97","24.7","0.039","-8.67","-8.67","0","bK10U07Z"
"(2006 WV)","2103-2103","1","2.9e-8","14.69","27.1","0.013","-8.70","-8.70","0","bK06W00V"
"(2015 TC25)","2112-2112","1","8.2e-7","3.51","29.4","0.004","-8.71","-8.71","0","bK15T25C"
"(2002 CB19)","2049-2049","1","7.2e-10","15.73","24.8","0.038","-8.72","-8.72","0","bK02C19B"
"(2011 UA64)","2113-2113","1","3.0e-8","14.41","27.1","0.013","-8.73","-8.73","0","bK11U64A"
"(2017 SB33)","2049-2049","1","2.1e-10","19.15","23.9","0.056","-8.75","-8.75","0","bK17S33B"
"(2012 YR1)","2077-2077","1","1.5e-8","7.84","26.5","0.017","-8.76","-8.76","0","bK12Y01R"
"(2008 EF32)","2083-2083","3","2.6e-7","13.11","29.4","0.004","-8.78","-8.81","0","bK08E32F"
"(2015 HM182)","2021-2116","96","1.6e-7","6.93","29.0","0.005","-8.79","-9.60","0","bK15HI2M"
"(2012 WQ3)","2040-2040","1","5.5e-10","23.77","25.4","0.028","-8.80","-8.80","0","bK12W03Q"
"(2009 JE1)","2044-2093","8","2.0e-8","5.64","27.3","0.012","-8.84","-9.15","0","bK09J01E"
"(2011 SL189)","2043-2100","5","8.6e-10","9.74","24.6","0.040","-8.84","-9.36","0","bK11SI9L"
"(2011 CA7)","2062-2064","3","5.4e-7","8.91","30.3","0.003","-8.87","-9.10","0","bK11C07A"
"(2002 CA26)","2115-2115","1","7.6e-9","11.06","25.9","0.022","-8.87","-8.87","0","bK02C26A"
"(2016 UR36)","2107-2107","2","2.6e-8","17.96","27.5","0.011","-8.89","-9.00","0","bK16U36R"
"(2008 WJ14)","2031-2089","8","4.4e-9","10.65","26.5","0.017","-8.90","-9.38","0","bK08W14J"
"(2015 VD105)","2094-2094","1","1.4e-9","9.27","24.6","0.041","-8.91","-8.91","0","bK15VA5D"
"(2009 EJ1)","2041-2086","4","4.0e-8","10.47","28.3","0.008","-8.93","-9.16","0","bK09E01J"
"(2012 CS46)","2023-2117","28","3.7e-8","6.86","27.8","0.009","-8.94","-9.56","0","bK12C46S"
"(2013 EC20)","2112-2112","3","3.2e-7","2.67","29.0","0.005","-8.94","-9.24","0","bK13E20C"
"(2017 BF136)","2069-2105","3","2.5e-9","20.90","26.1","0.020","-8.97","-9.14","0","bK17BD6F"
"(2009 XQ2)","2084-2114","2","2.6e-10","26.17","24.1","0.051","-8.98","-9.21","0","bK09X02Q"
"(2010 XU)","2081-2088","2","3.0e-9","6.25","25.4","0.029","-8.99","-9.16","0","bK10X00U"
"(2009 MG1)","2079-2079","1","3.1e-10","17.47","24.1","0.052","-8.99","-8.99","0","bK09M01G"
"(2016 AQ164)","2035-2035","1","6.9e-8","13.90","29.9","0.004","-8.99","-8.99","0","bK16AG4Q"
"(2014 HM198)","2075-2104","2","1.3e-8","10.52","27.3","0.012","-9.11","-9.11","0","bK14HJ8M"
"(2014 HK197)","2057-2115","15","4.4e-9","16.99","26.7","0.015","-9.13","-9.56","0","bK14HJ7K"
"(2015 XQ129)","2085-2085","1","4.3e-10","15.30","24.4","0.044","-9.13","-9.13","0","bK15XC9Q"
"(2007 VF189)","2072-2077","2","3.6e-8","11.47","28.4","0.007","-9.14","-9.21","0","bK07VI9F"
"(2016 JY5)","2093-2107","2","1.9e-8","6.16","27.1","0.013","-9.15","-9.31","0","bK16J05Y"
"(2015 HZ182)","2035-2101","10","3.9e-9","14.85","27.0","0.013","-9.16","-9.42","0","bK15HI2Z"
"(2014 HN2)","2112-2112","1","9.8e-9","2.59","26.3","0.018","-9.18","-9.18","0","bK14H02N"
"(2016 WF7)","2102-2115","4","1.0e-7","6.54","28.7","0.006","-9.19","-9.28","0","bK16W07F"
"(2008 JL24)","2091-2091","1","2.3e-7","2.70","29.6","0.004","-9.24","-9.24","0","bK08J24L"
"(2016 NC56)","2114-2114","1","8.4e-9","14.50","27.1","0.013","-9.29","-9.29","0","bK16N56C"
"(2013 VD17)","2075-2075","1","6.1e-9","11.99","27.1","0.013","-9.29","-9.29","0","bK13V17D"
"(2016 FF14)","2106-2106","1","8.8e-9","9.56","27.1","0.013","-9.38","-9.38","0","bK16F14F"
"(2014 AG51)","2067-2105","4","7.6e-8","14.81","30.0","0.003","-9.43","-9.46","0","bK14A51G"
"(2017 UJ2)","2074-2097","5","5.1e-7","5.23","30.9","0.002","-9.47","-9.83","0","bK17U02J"
"(2009 SD15)","2081-2105","2","2.7e-9","14.07","26.9","0.014","-9.51","-9.54","0","bK09S15D"
"(2016 FY13)","2066-2066","1","1.2e-10","12.52","24.3","0.048","-9.52","-9.52","0","bK16F13Y"
"(2009 DM40)","2091-2091","1","2.9e-9","8.96","26.6","0.016","-9.57","-9.57","0","bK09D40M"
"(2014 HD199)","2089-2112","2","2.1e-10","14.26","24.5","0.043","-9.58","-9.84","0","bK14HJ9D"
"(2010 SK13)","2084-2084","1","2.5e-9","18.03","27.3","0.012","-9.64","-9.64","0","bK10S13K"
"(2011 SC108)","2111-2111","1","4.9e-9","22.30","27.9","0.009","-9.66","-9.66","0","bK11SA8C"
"(2005 WN3)","2024-2024","1","4.0e-9","18.17","29.9","0.004","-9.69","-9.69","0","bK05W03N"
"(2014 WZ365)","2047-2047","1","2.8e-10","10.86","25.7","0.025","-9.70","-9.70","0","bK14Wa5Z"
"(2009 SH1)","2070-2116","32","6.7e-8","5.56","30.0","0.003","-9.90","-10.90","0","bK09S01H"
"(2007 RC20)","2091-2091","1","1.2e-9","5.07","26.7","0.016","-10.10","-10.10","0","bK07R20C"
"(2014 HC196)","2112-2112","1","2.0e-10","10.36","25.2","0.031","-10.10","-10.10","0","bK14HJ6C"
"(2009 EH1)","2051-2051","1","1.5e-9","10.60","27.9","0.009","-10.10","-10.10","0","bK09E01H"
"(2015 RU178)","2055-2055","1","9.6e-10","18.73","27.9","0.009","-10.10","-10.10","0","bK15RH8U"
"(2012 CQ46)","2098-2107","2","1.3e-9","12.89","27.3","0.012","-10.15","-10.40","0","bK12C46Q"
"(2014 YP44)","2092-2101","3","3.8e-10","4.34","26.1","0.020","-10.38","-10.70","0","bK14Y44P"
"(2016 VH)","2115-2115","1","9.3e-10","4.79","26.8","0.015","-10.40","-10.40","0","bK16V00H"
"(2012 UL171)","2083-2083","2","5.0e-10","4.07","26.9","0.014","-10.57","-10.70","0","bK12UH1L"
"(2016 MH3)","2104-2104","2","5.4e-10","4.79","27.1","0.013","-10.71","-10.80","0","bK16M03H"
"(2016 DB)","2059-2059","1","5.0e-10","9.16","28.5","0.007","-11.00","-11.00","0","bK16D00B"
"(2012 FN)","2089-2113","3","1.8e-9","3.70","29.1","0.005","-11.17","-11.40","0","bK12F00N"
