"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2009 YR)","2060-2087","8","1.1e-5","3.12","28.0","0.009","-6.61","-6.94","0","bK09Y00R"
"(2017 TB)","2054-2117","54","5.1e-5","5.79","29.1","0.005","-6.61","-7.22","0","bK17T00B"
"(2012 KP24)","2032-2032","1","3.4e-7","12.74","26.4","0.017","-6.62","-6.62","0","bK12K24P"
"(2016 EV84)","2056-2117","8","2.8e-6","7.41","26.8","0.015","-6.62","-6.84","0","bK16E84V"
"(2016 XP23)","2110-2110","1","6.4e-10","24.85","19.8","0.370","-6.62","-6.62","0","bK16X23P"
"(2015 CL13)","2090-2106","4","6.5e-7","13.70","25.7","0.025","-6.63","-7.02","0","bK15C13L"
"(1997 UA11)","2073-2073","1","2.9e-7","11.96","25.1","0.032","-6.64","-6.64","0","bJ97U11A"
"(2003 UQ25)","2093-2093","1","9.4e-8","18.01","24.2","0.049","-6.64","-6.64","0","bK03U25Q"
"(2005 GQ33)","2023-2110","24","2.8e-8","20.92","23.7","0.063","-6.64","-7.38","0","bK05G33Q"
"(2010 WW8)","2017-2112","86","1.5e-7","5.32","26.4","0.018","-6.64","-6.94","0","bK10W08W"
"(2014 QN266)","2078-2109","3","2.0e-6","2.85","26.2","0.019","-6.64","-6.69","0","bK14QQ6N"
"(2017 RP16)","2065-2112","11","4.1e-6","10.33","27.2","0.012","-6.64","-7.09","0","bK17R16P"
"(2015 HQ182)","2020-2114","188","1.6e-7","6.61","25.0","0.034","-6.65","-7.17","0","bK15HI2Q"
"(2016 JP38)","2020-2078","29","2.1e-8","9.71","24.4","0.044","-6.65","-6.97","0","bK16J38P"
"(2008 OO1)","2107-2107","1","2.3e-7","12.96","24.6","0.041","-6.66","-6.66","0","bK08O01O"
"(2011 AZ36)","2026-2116","176","4.1e-7","7.61","25.1","0.032","-6.66","-8.03","0","bK11A36Z"
"(2016 JL38)","2023-2116","108","6.0e-7","2.89","26.2","0.020","-6.66","-7.40","0","bK16J38L"
"(2007 SN6)","2022-2059","2","1.1e-7","18.32","25.0","0.033","-6.67","-6.73","0","bK07S06N"
"(2015 WP2)","2080-2116","22","7.6e-5","12.62","30.1","0.003","-6.67","-7.06","0","bK15W02P"
"(2008 BC15)","2072-2094","2","9.2e-7","20.66","26.6","0.016","-6.68","-6.91","0","bK08B15C"
"(2010 XQ)","2021-2116","69","2.1e-7","9.79","25.2","0.031","-6.68","-7.36","0","bK10X00Q"
"(2013 TV132)","2099-2115","6","2.6e-6","9.16","26.5","0.017","-6.68","-7.04","0","bK13TD2V"
"(1997 TC25)","2096-2096","1","2.6e-7","9.89","24.7","0.039","-6.70","-6.70","0","bJ97T25C"
"(2014 MB6)","2052-2075","2","8.1e-7","13.07","26.2","0.019","-6.70","-6.71","0","bK14M06B"
"(2006 WM3)","2113-2113","1","5.8e-8","10.41","23.2","0.078","-6.70","-6.70","0","bK06W03M"
"(1993 UA)","2111-2111","2","7.1e-7","9.40","25.4","0.028","-6.71","-6.87","0","bJ93U00A"
"(2006 BF56)","2092-2117","19","2.3e-5","26.15","29.6","0.004","-6.71","-7.22","0","bK06B56F"
"(2014 XM7)","2115-2115","1","3.8e-8","11.49","22.9","0.089","-6.72","-6.72","0","bK14X07M"
"(2005 UL6)","2068-2068","2","1.1e-7","12.04","24.5","0.042","-6.73","-6.93","0","bK05U06L"
"(2007 CS5)","2096-2110","4","3.1e-7","4.99","24.5","0.042","-6.73","-7.15","0","bK07C05S"
"(2011 BH40)","2023-2116","64","1.4e-7","5.40","25.1","0.033","-6.73","-7.38","0","bK11B40H"
"(2014 HJ198)","2022-2116","124","6.8e-7","21.82","26.8","0.015","-6.74","-7.69","0","bK14HJ8J"
"(2010 RA91)","2114-2117","2","6.7e-8","10.17","23.4","0.072","-6.74","-6.93","0","bK10R91A"
"(2017 EA)","2046-2066","3","3.9e-5","17.33","30.6","0.003","-6.75","-6.78","0","bK17E00A"
"(2015 HW182)","2018-2116","178","5.2e-8","10.84","25.2","0.031","-6.75","-7.54","0","bK15HI2W"
"(2010 UR7)","2079-2086","3","2.8e-6","13.33","27.4","0.011","-6.76","-7.08","0","bK10U07R"
